Item;Atividade;Gerencia;Setor;Regulado;Cidade;Mes;MesAgendado;MesRealizado;GIASO;Processo;PCDP;Prioridade
1868-23;"O135-504 - Inspeção de Vigilância de Programa de Treinamento de Voo";GOAG;GOAG_GTVC;"PRIME AVIATION TAXI AÉREO E SERVIÇOS LTDA.";Barueri - SP;Out;Mar;Mar;"renato.ferrante";"00058.075970/2022-17";"OS 379/2023";"A"
1869-23;"O135-504 - Inspeção de Vigilância de Programa de Treinamento de Voo";GOAG;GOAG_GTVC;"AEROTOP TÁXI AÉREO LTDA";Macapá - AP;Nov;Fev;Fev;"christian.duvoisin";"00058.075975/2022-40";"PCDP  0281/23, OS 134/2023";"A"
1871-23;"O135-505 - Inspeção de Vigilância de Sistema de Gerenciamento da Segurança Operacional";GOAG;GOAG_GTVC;"CUNHA TÁXI AÉREO";Manaus - AM;Fev;Fev;Fev;"cintia.bizarria";"00058.074779/2022-58";"REMOTA";"A"
1873-23;"O135-505 - Inspeção de Vigilância de Sistema de Gerenciamento da Segurança Operacional";GOAG;GOAG_GTVC;"TUCANO TÁXI AÉREO LTDA";Cruzeiro do Sul - AC;Fev;Abr;Abr;"cintia.bizarria";"00058.074777/2022-69";"REMOTA";"A"
1874-23;"O135-505 - Inspeção de Vigilância de Sistema de Gerenciamento da Segurança Operacional";GOAG;GOAG_GTVC;"Ultraplana Táxi Aéreo Ltda";Rio de Janeiro - RJ;Fev;Abr;Abr;"cintia.bizarria";"00058.074767/2022-23";"REMOTA";"A"
1879-23;"O135-505 - Inspeção de Vigilância de Sistema de Gerenciamento da Segurança Operacional";GOAG;GOAG_GTVC;"DUX EXPRESS";Jundiaí - SP;Mar;Mar;Mar;"cintia.bizarria";"00058.074787/2022-02";"REMOTA";"A"
1880-23;"O135-505 - Inspeção de Vigilância de Sistema de Gerenciamento da Segurança Operacional";GOAG;GOAG_GTVC;"RBF TÁXI AÉREO";Belo Horizonte - MG;Mar;Mar;Mar;"cintia.bizarria";"00058.074786/2022-50";"REMOTA";"A"
1881-23;"O135-505 - Inspeção de Vigilância de Sistema de Gerenciamento da Segurança Operacional";GOAG;GOAG_GTVC;"ULTRA PILOTS TÁXI AÉREO";Rio de Janeiro - RJ;Mar;Fev;Fev;"cintia.bizarria";"00058.074781/2022-27";"REMOTA";"A"
1883-23;"O135-505 - Inspeção de Vigilância de Sistema de Gerenciamento da Segurança Operacional";GOAG;GOAG_GTVC;"FALCON TÁXI AÉREO EIRELI";Rio de Janeiro - RJ;Abr;Fev;Fev;"gustavo.schettino";"00058.074881/2022-53";"REMOTA";"A"
1886-23;"O135-505 - Inspeção de Vigilância de Sistema de Gerenciamento da Segurança Operacional";GOAG;GOAG_GTVC;"VOESYNC TÁXI AÉREO";Cascavel - PR;Abr;Abr;Abr;"cintia.bizarria";"00058.074872/2022-62";"REMOTA";"A"
